what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1344212242526
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1344212242526
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1344212242527
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1344212242528
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1344212242529
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1344212242530
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1344212242531
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1344212242531
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1344212242532
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1344212242532
os,sysinfo,,,"win32",1344212242536
arch,sysinfo,,,"x86",1344212242536
ws,sysinfo,,,"win32",1344212242536
locale,sysinfo,,,"en_AU",1344212242536
processors,sysinfo,,,"2",1344212242536
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1344212242536
java.runtime.version,sysinfo,,,"1.7.0_05-b05",1344212242536
java.specification.name,sysinfo,,,"Java Platform API Specification",1344212242536
java.specification.vendor,sysinfo,,,"Oracle Corporation",1344212242536
java.specification.version,sysinfo,,,"1.7",1344212242536
java.vendor,sysinfo,,,"Oracle Corporation",1344212242536
java.version,sysinfo,,,"1.7.0_05",1344212242536
java.vm.info,sysinfo,,,"mixed mode, sharing",1344212242536
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1344212242536
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1344212242536
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1344212242536
java.vm.specification.version,sysinfo,,,"1.7",1344212242536
java.vm.vendor,sysinfo,,,"Oracle Corporation",1344212242536
java.vm.version,sysinfo,,,"23.1-b03",1344212242536
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1344212242539
