what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341833105220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833109441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833129781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1341833129791
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833135551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833139931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833142074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833157752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1341833159626
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341833162566
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341833223348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833225983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833305107
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341833311508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341833324355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833324598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833350122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833352139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833369640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341833375967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833381268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833457873
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1341833458349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341833459279
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341833466649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341833474410
