what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341752562756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752562936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752605074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341752623253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752627963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752629197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752631715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752631836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341752677094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341752692947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341752705767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341752708628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341752710329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341752716781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752719009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752722085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752748925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752749483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341752761262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752761751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752769582
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341752771679
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341752774368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341752790468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1341752813765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341752834578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341752835268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341752835880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341752836352
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341752842430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341752843230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341752848675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341752849815
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341752852867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341752865453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752867915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752872688
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341752873668
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341752874349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341752889525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752891473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752895862
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341752896704
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341752898152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341752902788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752904667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752910385
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341752910405
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341752921106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752922287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752972475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1341752983837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341752986051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341752999042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753000424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753007798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753007938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341753016620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753016870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753026838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341753034215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341753035637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341753036619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753039773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753039903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753045799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753062263
failed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.override.methods",1341753062273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753062653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753063833
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341753064624
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341753065665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341753066386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341753067596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341753092299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753095004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753097177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341753119500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341753120062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341753123060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341753123392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341753129543
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341753131107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753133302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753141277
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341753145761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753147381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753395773
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341753398846
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1341753399400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341753413967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341753416737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341753436460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341753437282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341753441378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753443232
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341753446276
