what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214583554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214612814
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344214617604
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344214619932
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1344214620228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214627285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214645197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1344214649084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214652076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214654777
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1344214654816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214657784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214657909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214662863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214662961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214665803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214665963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214668898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214669002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214679343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214679460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1344214690592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214708498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214708630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214714613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214777105
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1344214778248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214781661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344214784154
